description,calories,protein,carbs,fat
"Salami, cooked, turkey",172.0,19.2,1.55,9.21
"Soup, miso or tofu",24.0,2.21,2.3,0.85
"Fish, tofu, and vegetables, tempura",177.0,4.01,4.53,16.0
Tempeh,192.0,20.3,7.64,10.8
"Tempeh, cooked",195.0,19.9,7.62,11.4
"Meat substitute, cereal- and vegetable protein-based, fried",359.0,12.8,61.25,7.23
"Chickpeas, NFS",211.0,8.23,25.48,8.91
Chickpea flour (besan),387.0,22.4,57.8,6.69
"Chickpeas, from canned, fat added",197.0,7.88,21.61,9.35
"Chickpeas, from canned, no added fat",146.0,8.19,22.45,3.24
"Chickpeas, from canned, reduced sodium",197.0,7.89,21.64,9.37
Black bean salad,94.0,3.08,12.61,3.85
Black bean sauce,168.0,6.28,17.36,8.45
Black beans with meat,177.0,10.61,19.06,6.81
"Black beans, NFS",181.0,8.23,22.04,7.01
Black beans and brown rice,158.0,5.91,23.52,4.65
Kidney beans with meat,173.0,10.46,18.33,6.78
"Kidney beans, NFS",177.0,8.06,21.19,6.97
Kidney beans and brown rice,155.0,5.81,23.02,4.63
Kidney beans and white rice,158.0,5.9,23.91,4.29
"Beans, liquid from stewed kidney beans",47.0,1.8,2.8,3.2
Lentil curry,111.0,3.68,12.33,5.65
"Lentils, NFS",166.0,8.38,18.71,6.86
"Soup, lentil",60.0,3.82,10.2,0.69
"Egg, whole, cooked, hard-boiled",155.0,12.6,1.12,10.6
"Egg, whole, boiled or poached",143.0,12.4,0.96,9.96
"Peanuts, boiled",318.0,13.5,21.26,22.01
Chicken or turkey salad with egg,228.0,13.81,2.73,18.06
Egg salad sandwich on wheat,259.0,10.64,15.81,16.75
Egg salad sandwich on white,260.0,9.98,17.07,16.62
Shrimp cocktail,99.0,13.24,7.92,1.22
Shrimp scampi,192.0,15.41,2.27,12.98
"Shrimp, fried",218.0,12.26,12.41,12.94
"Fajita, shrimp",189.0,8.33,18.35,8.92
Crab,83.0,17.88,0.0,0.74
Crab salad made with imitation crab,197.0,4.07,8.66,16.28
"Crab, cake",214.0,14.4,4.48,14.97
Crab salad,188.0,9.4,1.27,15.89
"Crab, canned",83.0,17.88,0.0,0.74
Lobster,97.0,20.91,0.0,0.95
Lobster gumbo,59.0,6.19,4.63,1.78
Lobster salad,187.0,10.29,1.22,15.4
Shrimp with lobster sauce,151.0,16.78,2.16,7.85
"Crustaceans, lobster, northern, raw",77.0,16.5,0.0,0.75
Cuban sandwich,228.0,15.86,16.3,10.69
Falafel sandwich,265.0,6.22,27.04,14.76
Gyro sandwich,184.0,11.24,18.78,6.76
Meatloaf sandwich,217.0,11.75,28.73,6.15
Club sandwich on wheat,220.0,15.98,21.38,7.65
Club sandwich on white,222.0,15.08,23.09,7.48
"Club sandwich on wheat, with cheese",239.0,16.58,19.13,10.5
"Club sandwich on white, with cheese",241.0,15.81,20.62,10.35
"Club sandwich or sub, restaurant",234.0,15.99,18.43,10.55
"Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread",205.0,10.1,26.7,6.41
"Bacon, lettuce, tomato sandwich on white",231.0,10.89,29.71,7.54
"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",106.0,10.95,3.0,5.61
"Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",122.0,6.78,6.36,7.72
Turkey sandwich on wheat,187.0,13.05,24.56,3.88
Turkey sandwich on white,189.0,12.03,26.51,3.68
Turkey sandwich wrap,232.0,12.77,23.3,9.4
Turkey and ham sandwich on white,172.0,13.12,21.22,3.68
Turkey and ham sandwich on wheat,170.0,13.94,19.65,3.84
"Chicken fillet sandwich, NFS",281.0,12.17,27.48,13.46
Chicken salad sandwich on wheat,245.0,13.08,17.06,13.83
Chicken salad sandwich on white,246.0,12.42,18.32,13.7
Chicken salad sandwich wrap,269.0,12.89,16.99,16.56
Tuna salad sandwich on wheat,217.0,10.52,17.07,11.89
"Tuna salad sandwich on white, with cheese",233.0,10.96,16.94,13.5
"Tuna salad sandwich on wheat, with cheese",232.0,11.55,15.81,13.62
"Veggie burger, on bun",224.0,12.96,30.82,5.2
"Veggie burger patty, no bun",177.0,15.7,14.27,6.3
"Veggie burger, on bun, with cheese",243.0,14.0,27.23,8.43
Fish wrap sandwich,262.0,14.73,22.61,12.44
Ham sandwich wrap,230.0,13.54,22.51,9.38
"Sandwich wrap, NFS",232.0,12.77,23.3,9.4
Vegetable sandwich wrap,160.0,5.42,19.71,6.55
"Chicken fillet wrap sandwich, fried, from fast food",299.0,12.68,24.42,16.68
"Chicken fillet wrap sandwich, grilled, from fast food",252.0,20.83,17.3,10.42
Falafel,514.0,8.28,28.96,41.19
"Falafel, home-prepared",333.0,13.3,31.8,17.8
"Bread, pita",275.0,9.1,55.7,1.2
"Bread, pita with fruit",279.0,8.16,59.51,1.05
"Bread, pita, white, enriched",275.0,9.1,55.7,1.2
"Bread, pita, white, unenriched",275.0,9.1,55.7,1.2
"Turnover or hot pocket, pizza pocket",244.0,9.66,29.68,9.62
"Turnover or hot pocket, pizza pocket, meat",260.0,10.26,27.9,11.92
Turnover or lean pocket,208.0,10.61,24.38,7.5
Meatball sandwich or sub,207.0,11.3,21.31,8.23
"Ham sandwich or sub, restaurant",178.0,13.34,22.85,3.66
"Italian sandwich or sub, restaurant",313.0,16.23,16.42,20.05
Steak sandwich or sub on wheat,247.0,18.93,23.49,8.27
"Roll, white, hoagie, submarine",279.0,9.77,50.12,3.91
"Grilled cheese sandwich, NFS",343.0,11.03,28.09,20.78
"Grilled cheese sandwich, cheddar cheese, on white bread",368.0,13.38,26.38,23.26
"Grilled cheese sandwich, cheddar cheese, on wheat bread",366.0,14.4,24.42,23.46
"Grilled cheese sandwich, American cheese, on wheat bread",341.0,12.05,26.13,20.98
"Grilled cheese sandwich, American cheese, on white bread",343.0,11.03,28.09,20.78
Reuben sandwich,282.0,10.01,16.42,19.43
Cheeseburger (Burger King),265.0,14.02,23.66,12.32
Hamburger (Burger King),254.0,13.63,25.98,10.24
Whopper (Burger King),226.0,11.34,17.33,12.37
"BURGER KING, Cheeseburger",286.0,14.6,23.7,14.8
Hamburger (McDonalds),263.0,13.3,29.57,10.18
Hamburger slider,288.0,17.76,19.71,14.72
"Hamburger, NFS",288.0,17.51,20.68,14.38
"BURGER KING, Hamburger",261.0,14.8,26.8,10.6
Cheeseburger (McDonalds),270.0,13.49,25.46,12.9
Cheeseburger slider,297.0,18.09,17.9,16.41
"Cheeseburger, NFS",296.0,17.87,18.71,16.15
"McDONALD'S, Cheeseburger",263.0,13.0,27.8,11.8
"Turkey or chicken burger, on wheat bun",227.0,20.7,18.74,7.72
"Turkey or chicken burger, on white bun",234.0,20.03,20.68,7.69
Beef salad,261.0,17.85,2.9,19.32
Pea salad,180.0,2.98,10.64,14.02
"Caesar salad, with romaine, no dressing",77.0,4.0,7.49,3.41
"Cobb salad, no dressing",93.0,11.32,2.65,4.33
"Greek Salad, no dressing",48.0,2.75,4.35,2.26
Chicken salad spread,200.0,11.64,7.41,13.52
"Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",47.0,7.12,3.04,0.49
"Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",47.0,7.66,2.62,0.5
"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",63.0,8.52,2.99,1.94
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",130.0,11.44,9.5,5.46
"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",64.0,10.1,3.04,1.33
"Spinach salad, no dressing",84.0,7.02,2.09,5.07
"Spinach, creamed",90.0,2.39,6.11,6.09
"Spinach, raw",27.0,2.85,2.41,0.62
Spinach souffle,128.0,5.72,7.13,8.64
"Kale, raw",35.0,2.92,4.42,1.49
"Lamb, chop",264.0,27.36,0.0,16.27
"Veal, chop",158.0,29.51,0.07,4.4
"Pork, chop, stuffed",190.0,18.37,7.82,9.04
"Burrito bowl, chicken, with rice",155.0,12.46,14.21,5.0
"Burrito bowl, beef or pork, with rice",181.0,11.92,14.21,8.05
"Burrito bowl, chicken, with beans and rice",145.0,13.03,10.58,5.44
"Burrito bowl, beef or pork, with beans and rice",171.0,12.49,10.58,8.48
"Burrito bowl, with beans",129.0,8.04,17.3,3.42
"Burrito bowl, chicken",161.0,21.04,0.27,8.11
"Burrito bowl, NFS",145.0,13.03,10.58,5.44
"Burrito bowl, beef or pork",213.0,19.97,0.27,14.21
"Burrito bowl, chicken, with beans",135.0,13.6,6.94,5.87
Ramen bowl with beef,137.0,6.81,15.4,5.19
Ramen bowl with chicken,126.0,7.04,15.4,3.86
"Rice bowl with chicken, frozen entree, prepared (includes fried, teriyaki, and sweet and sour varieties)",126.0,5.65,22.5,1.56
Shrimp teriyaki,120.0,21.62,3.34,1.56
Steak teriyaki,198.0,28.86,1.94,8.25
Chicken or turkey with teriyaki,163.0,25.73,1.62,5.96
"Quinoa, cooked",120.0,4.4,21.3,1.92
"Quinoa, fat added",146.0,4.2,20.22,5.42
"Quinoa, no added fat",120.0,4.38,21.21,1.91
"Soup, borscht",20.0,0.52,3.9,0.37
"Soup, pepperpot",91.0,3.06,6.79,5.75
"Soup, barley",58.0,3.34,6.66,2.07
"Soup, bean",67.0,3.76,11.62,0.76
"Soup, chicken noodle",53.0,3.84,6.21,1.4
"Soup, chicken noodle, canned",42.0,2.38,6.02,0.98
"Soup, chicken noodle, canned, condensed",48.0,2.37,6.07,1.55
"Soup, tomato",19.0,0.65,3.64,0.41
"Soup, cream of tomato",70.0,1.21,6.39,4.68
"Soup, tomato, canned",34.0,0.63,7.65,0.33
"CAMPBELL'S, Tomato Soup, condensed",71.0,1.46,15.2,0.44
"Soup, minestrone",40.0,1.71,7.3,0.5
"SMART SOUP, Greek Minestrone",40.0,1.7,8.4,0.53
Chili with macaroni,126.0,8.99,14.35,3.65
Chili with chicken,100.0,14.11,2.41,3.71
Chili with meat,139.0,13.32,2.41,8.22
"Chili, NFS",118.0,9.8,10.25,4.33
"Soup, lentil, canned",43.0,2.48,7.22,0.64
"Soup, lentil, with meat",78.0,5.94,8.76,2.3
"Soup, lentil, canned, reduced sodium",43.0,2.49,7.23,0.64
"Soup, bean, with meat",84.0,5.88,10.0,2.35
"Soup, bean, canned",47.0,2.44,8.1,0.68
"Soup, bean, canned, reduced sodium",47.0,2.45,8.12,0.68
"Soup, vegetable",27.0,0.84,5.08,0.45
"Soup, cream of vegetable",78.0,1.41,7.83,4.72
"Soup, vegetable, canned",38.0,1.12,7.62,0.4
"Soup, vegetable, with meat",44.0,3.36,4.04,1.6
Vegetables as ingredient in soups,50.0,1.87,10.56,0.33
"Burrito, NFS",219.0,11.12,23.87,8.54
Egg burrito,249.0,10.91,20.06,13.71
"Burrito, beef, cheese",267.0,13.28,28.33,10.68
"Burrito, cheese only",328.0,13.69,30.59,16.53
"Burrito, chicken, cheese",244.0,13.74,28.33,8.06
"Quesadilla, chicken",287.0,14.45,27.32,12.99
"Quesadilla, egg",249.0,10.91,20.06,13.71
"Quesadilla, NFS",316.0,13.36,28.62,16.21
"Quesadilla, with vegetables",253.0,8.14,29.18,11.32
"ON THE BORDER, cheese quesadilla",394.0,16.9,24.2,25.5
"TACO BELL, Soft Taco with steak",225.0,11.8,17.2,12.1
"Taco, fish",275.0,11.62,22.99,15.29
"Taco, NFS",246.0,15.31,15.62,13.56
"Enchilada, beef",191.0,9.76,14.64,10.54
"Enchilada, chicken",178.0,10.03,14.64,9.02
"Enchilada, NFS",178.0,10.03,14.64,9.02
"Enchilada, no meat",165.0,6.37,17.34,8.2
"Enchilada, pork",192.0,9.54,14.64,10.74
"Fajita, chicken",206.0,11.33,17.99,9.8
"Fajita, NFS",219.0,11.7,17.99,11.02
"Fajita, vegetable",166.0,3.22,20.43,7.84
"Fajita, beef or pork",231.0,12.07,17.99,12.24
"Nachos, chicken",242.0,11.2,19.87,13.33
"Nachos, NFS",265.0,7.6,23.85,15.85
"Nachos, with beans",210.0,4.62,23.28,11.37
"Nachos, beef or pork",265.0,10.73,19.87,15.96
"Nachos, cheese only",266.0,4.46,27.83,15.74
Taco or tostada salad with meat,179.0,7.45,16.49,9.32
Taco or tostada salad with chicken,167.0,7.83,16.29,8.02
"Taco or tostada salad, meatless",163.0,5.28,19.3,7.36
Taco or tostada salad with chicken and sour cream,171.0,7.24,14.96,9.26
Macaroni or pasta salad with cheese,246.0,6.89,21.78,14.43
Macaroni or pasta salad with chicken,213.0,7.82,20.94,10.75
Macaroni or pasta salad with egg,215.0,5.18,22.54,11.44
Macaroni or pasta salad with meat,211.0,7.65,20.82,10.59
Macaroni or pasta salad with shrimp,203.0,6.86,20.94,9.99
"Macaroni or noodles with cheese, Easy Mac type",110.0,3.26,20.1,1.86
Big Mac (McDonalds),261.0,11.94,21.53,14.1
"McDONALD'S, BIG MAC (without Big Mac Sauce)",234.0,12.8,21.0,11.6
"Cheese, processed cheese food",307.0,16.09,8.85,23.06
Spaghetti sauce with meat,90.0,5.94,6.54,4.36
Spaghetti sauce with poultry,75.0,6.29,6.54,2.62
Spaghetti sauce with seafood,64.0,5.33,7.09,1.48
"Pasta, cooked",157.0,5.76,30.68,0.92
Flavored pasta,87.0,2.47,14.45,2.21
"Pasta, vegetable, cooked",128.0,4.52,26.55,0.11
Mexican pizza,249.0,15.47,15.3,13.94
Pizza rolls,345.0,9.19,53.39,10.5
"Sushi, NFS",94.0,2.92,18.39,0.67
"Sushi, topped with egg",119.0,7.32,10.25,5.23
"Sushi roll, California",94.0,2.92,18.39,0.67
"Sushi, topped with tuna",100.0,9.66,13.39,0.29
Sushi roll tuna,97.0,7.4,15.3,0.26
"Sushi roll, vegetable",93.0,1.8,17.65,1.47
"Sushi roll, salmon",103.0,6.88,15.3,1.28
"Sushi roll, shrimp",100.0,7.01,15.67,0.55
"Grapefruit, raw, white, California",37.0,0.88,9.09,0.1
"Oranges, raw, California, valencias",49.0,1.04,11.9,0.3
"Roll, multigrain",263.0,9.6,44.6,6.0
"Rice, fried, meatless",174.0,3.84,32.5,3.19
"Rice, fried, NFS",174.0,3.84,32.5,3.19
"Rice, fried, with beef",178.0,7.86,27.62,4.06
"Rice, fried, with pork",179.0,7.56,27.62,4.
