description,calories,protein,carbs,fat
"Desserts, mousse, chocolate, prepared-from-recipe",225.0,4.14,16.1,16.0
Fish timbale or mousse,149.0,10.08,1.96,10.95
"Pie, chocolate mousse, prepared from mix, no-bake type",260.0,3.5,29.6,15.4
Chocolate chips,480.0,4.2,63.9,30.0
"Muffin, chocolate chip",402.0,5.77,55.4,19.04
Chocolate candy,535.0,7.65,59.4,29.66
"Chocolate candy, candy shell",492.0,4.33,71.19,21.13
"Chocolate candy, candy shell with nuts",506.0,11.02,60.17,25.45
Banana pudding,160.0,2.57,28.0,4.26
"Pudding, bread",156.0,5.6,23.53,4.86
"Pudding, rice",108.0,3.23,18.39,2.15
Noodle pudding,209.0,5.94,31.02,7.4
"Puddings, vanilla, ready-to-eat",545.0,1.45,22.6,3.78
"Babyfood, dessert, cherry vanilla pudding, junior",69.0,0.2,18.4,0.2
"Babyfood, dessert, cherry vanilla pudding, strained",68.0,0.2,17.8,0.3
"Puddings, rice, dry mix",376.0,2.7,91.2,0.1
"Puddings, rice, ready-to-eat",108.0,3.23,18.4,2.15
"Puddings, rice, dry mix, prepared with 2% milk",465.0,3.29,20.8,1.63
"Puddings, rice, dry mix, prepared with whole milk",507.0,3.25,20.7,2.82
"Pudding, tapioca, ready-to-eat",130.0,1.95,21.69,3.88
"Puddings, tapioca, dry mix",369.0,0.1,94.3,0.1
"Puddings, tapioca, ready-to-eat",542.0,1.95,21.7,3.88
"Pudding, tapioca, made from dry mix",130.0,1.95,21.69,3.88
"Puddings, tapioca, dry mix, with no added salt",369.0,0.1,94.3,0.1
Custard,97.0,5.08,10.97,3.64
"Pie, custard",210.0,5.5,20.8,11.6
"Doughnut, custard-filled",363.0,5.2,42.86,18.92
"Doughnut, custard-filled, with icing",368.0,4.52,46.25,18.7
"Egg custards, dry mix",410.0,6.9,82.8,6.4
Flan,178.0,5.23,28.24,4.94
"Desserts, flan, caramel custard, prepared-from-recipe",609.0,4.53,22.8,4.03
"Flan, caramel custard, dry mix, prepared with 2% milk",430.0,2.99,18.8,1.72
"Flan, caramel custard, dry mix, prepared with whole milk",475.0,2.95,18.7,3.0
Creme brulee,113.0,4.06,17.85,2.83
"Cookie, oatmeal sandwich, with creme filling",398.0,2.61,55.62,18.29
"Cookies, oatmeal sandwich, with creme filling",398.0,2.61,55.6,18.3
"Cookies, vanilla sandwich with creme filling",483.0,4.5,72.1,20.0
"Doughnuts, yeast-leavened, with creme filling",361.0,6.4,30.0,24.5
"Yogurt parfait, with fruit",104.0,5.25,16.08,2.18
"McDONALD'S, Fruit 'n Yogurt Parfait",439.0,2.73,20.7,1.3
"Yogurt parfait, lowfat, with fruit and granola",84.0,3.36,15.9,1.01
"McDONALD'S, Fruit 'n Yogurt Parfait (without granola)",90.0,2.47,17.7,1.13
Tofu yogurt,394.0,3.5,16.0,1.8
"Yogurt, Greek, with oats",149.0,9.22,20.02,3.67
"Yogurt, Greek, Blueberry, CHOBANI",343.0,7.23,12.8,0.24
"Yogurt, Greek, plain, lowfat",305.0,9.95,3.94,1.92
"Yogurt, Greek, plain, nonfat",61.0,10.3,3.64,0.37
"Yogurt, Greek, strawberry, lowfat",439.0,8.17,12.3,2.57
"Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise",247.0,1.78,13.57,20.68
"Fruit salad, including citrus fruits, with salad dressing or mayonnaise",240.0,1.87,13.02,20.26
"Fruit salad, excluding citrus fruits, with marshmallows",251.0,1.78,17.54,19.48
"Fruit salad, excluding citrus fruits, with pudding",137.0,1.86,18.11,6.48
"Fruit salad, including citrus fruits, with marshmallows",244.0,1.87,16.95,19.1
"Burrito bowl, chicken",161.0,21.04,0.27,8.11
"Burrito bowl, NFS",145.0,13.03,10.58,5.44
"Burrito bowl, with beans",129.0,8.04,17.3,3.42
Ramen bowl with beef,137.0,6.81,15.4,5.19
Ramen bowl with chicken,126.0,7.04,15.4,3.86
"Fruit smoothie, with whole fruit, no dairy",54.0,0.61,12.67,0.35
"Topping, fruit",254.0,0.2,66.3,0.1
Biscuit with fruit,363.0,6.7,46.47,17.05
Chia seeds,486.0,16.54,42.12,30.74
Dessert dip,249.0,6.01,22.48,15.05
Dessert pizza,204.0,1.84,32.38,7.53
Dessert sauce,150.0,0.09,19.53,7.95
Gelatin dessert,60.0,1.22,14.19,0.0
Oat milk,45.0,0.66,5.37,2.33
"Nutritional drink or shake, high protein, ready-to-drink, NFS",61.0,6.59,0.85,3.38
"Nutritional drink or shake, high protein, light, ready-to-drink, NFS",138.0,5.38,17.29,5.38
"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast)",61.0,6.59,0.85,3.38
Vegetable smoothie,89.0,2.75,5.84,6.63
"Fruit smoothie, light",53.0,2.61,9.71,0.61
"Fruit smoothie, bottled",50.0,0.48,11.66,0.27
"Fruit smoothie, NFS",66.0,2.32,11.98,1.1
"Bananas, dehydrated, or banana powder",346.0,3.89,88.3,1.81
"Banana, baked",161.0,0.82,32.43,3.21
"Banana, raw",97.0,0.74,22.71,0.28
Banana chips,519.0,2.3,58.4,33.6
Banana nectar,74.0,0.26,18.01,0.13
"Apple, candied",134.0,1.34,29.61,2.15
"Apple, raw",61.0,0.17,14.8,0.15
"Apple, dried",243.0,0.93,65.89,0.32
"Candy, caramel",384.0,3.1,82.36,5.7
Seafood dip,337.0,6.18,4.2,32.8
Layer dip,146.0,5.41,6.67,11.33
Tzatziki dip,91.0,5.22,4.1,6.0
Gelatin dessert with fruit,56.0,1.1,13.34,0.01
"Gelatin dessert, sugar free",20.0,0.83,4.22,0.0
"Gelatin dessert, sugar free, with fruit",22.0,0.77,4.86,0.01
Gelatin salad with vegetables,61.0,1.47,14.02,0.02
"Gelatin shot, alcoholic",102.0,0.24,2.8,0.0
"Pastry, Italian, with cheese",267.0,7.52,35.06,10.94
Tiramisu,353.0,5.65,29.44,23.86
"Cream puff, eclair, custard or cream filled, iced",334.0,4.41,37.4,18.5
"Cream puff, eclair, custard or cream filled, not iced",264.0,4.76,12.92,21.52
"Cream puff, eclair, custard or cream filled, NS as to icing",280.0,4.2,11.05,24.39
Churros,419.0,6.05,48.87,22.21
Funnel cake with sugar,353.0,7.87,43.49,16.57
Funnel cake with sugar and fruit,380.0,5.84,55.18,15.7
"Cookie, graham cracker with chocolate and marshmallow",465.0,6.36,68.97,18.57
"Topping, marshmallow",322.0,0.8,79.0,0.3
"Candies, marshmallows",318.0,1.8,81.3,0.2
"Candy, marshmallow",318.0,1.8,81.3,0.2
"Cookies, marshmallow, chocolate-coated (includes marshmallow pies)",421.0,4.0,67.7,16.9
"Cookie, marshmallow, with coconut",421.0,4.0,67.7,16.9
"Cobbler, apple",217.0,2.05,33.56,8.66
"Cobbler, berry",231.0,2.66,36.2,8.86
"Cobbler, cherry",237.0,2.37,38.07,8.69
"Cobbler, peach",217.0,2.22,32.98,8.66
"Babyfood, cherry cobbler, junior",326.0,0.3,19.2,0.1
"Crisp, apple",215.0,2.81,30.18,9.59
"Crisp, berry",228.0,3.41,32.81,9.78
"Crisp, cherry",234.0,3.13,34.67,9.61
"Crisp, peach",214.0,2.98,29.6,9.59
"Chicken, ground, crumbles, cooked, pan-browned",189.0,23.3,0.0,10.9
"Turkey, ground, fat free, pan-broiled crumbles",151.0,31.7,0.0,2.71
"Pork, ground, 84% lean / 16% fat, cooked, crumbles",289.0,26.7,0.58,20.0
