description,calories,protein,carbs,fat
"Nutritional drink or shake, high protein, light, ready-to-drink, NFS with Coffee cake, crumb or quick-bread type, with fruit and Carrots, glazed, cooked",787.0,15.3,118.5,28.6
"Frozen yogurt sandwich with Cookie, oatmeal, with chocolate chips and Fruit salad, excluding citrus fruits, with marshmallows",1242.5,16.2,170.5,60.2
"Ramen bowl with beef with Banana nectar and Carrots, raw",360.5,11.5,59.8,8.2
"Chicken, ground, crumbles, cooked, pan-browned with Blueberry pie filling and Cake, pudding-type, carrot, dry mix",970.0,40.7,145.8,26.5
"Yogurt, Greek, plain, lowfat with Crisp, apple and Burrito bowl, with beans with Cookie, peanut butter, sugar free",987.5,28.7,76.1,25.3
"Yogurt, Greek, Blueberry, CHOBANI with Cookie, oatmeal sandwich, with creme filling and Fruit salad, including citrus fruits, with salad dressing or mayonnaise",1351.5,16.6,115.6,48.1
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI with Pie, apple and Fruit salad, excluding citrus fruits, with marshmallows with Cookie, butter or sugar",902.6,18.3,101.8,47.5
"Tofu yogurt with Coffee cake, crumb or quick-bread type and Cake or cupcake, carrot",1559.0,17.5,152.7,47.9
"Frozen yogurts, chocolate with Cream of rice and Carrots, glazed, cooked with Nuts, walnuts, glazed",1096.0,8.4,79.8,13.7
"Turkey, ground, fat free, pan-broiled crumbles with Pie, blueberry and Cake or cupcake, carrot with Nuts, walnuts, glazed",1125.5,55.5,115.9,50.2
"Yogurt, Greek, strawberry, lowfat with Cereal or granola bar (Quaker Granola Bites) and Gelatin salad with vegetables with Cookie, peanut butter sandwich",1467.7,25.8,141.7,33.3
"Yogurt, Greek, plain, lowfat with Blueberry pie filling and Fruit salad, excluding citrus fruits, with pudding",866.0,17.4,90.6,9.7
"Burrito bowl, chicken with Cookie, oatmeal, reduced sugar and Fruit salad, excluding citrus fruits, with marshmallows with Cookie, peanut butter",1237.0,41.9,131.5,62.2
"Nutritional drink or shake, high protein, ready-to-drink, NFS with Sherbet, orange and Cake, pudding-type, carrot, dry mix with Almond milk, chocolate",1416.0,16.7,127.2,18.1
"McDONALD'S, Fruit 'n Yogurt Parfait with Cereal or granola bar (Quaker Chewy Granola Bar) and Carrot, dehydrated",1626.5,20.7,216.0,28.3
"Fruit smoothie, with whole fruit and dairy, added protein with Oat milk and Burrito bowl, with beans",315.0,20.1,40.4,8.8
"SILK Key Lime soy yogurt with Strudel, apple and Carrot, dehydrated with Cookie, peanut butter",1385.5,15.9,170.5,28.0
"SILK Key Lime soy yogurt with Banana, baked and Carrots, raw",837.5,5.6,84.7,6.8
"Fruit smoothie, with whole fruit and dairy, added protein with Cookies, oatmeal sandwich, with creme filling and Carrot, dehydrated",1056.5,23.0,178.1,30.8
"Frozen yogurt bar, chocolate with Cookies, oatmeal sandwich, with creme filling and Carrot, dehydrated",1134.5,16.5,195.4,34.3
"Yogurt parfait, lowfat, with fruit and granola with Apple, candied and Carrots, raw with Cookie, peanut butter",441.9,9.3,86.7,8.6
"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast) with Cake or cupcake, apple and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise",902.5,15.3,93.6,52.0
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI with Coffee cake, crumb or quick-bread type and Fruit salad, including citrus fruits, with marshmallows with Chia seeds",1048.9,25.7,118.1,53.6
"Yogurt, Greek, strawberry, lowfat with Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice and Fruit salad, including citrus fruits, with marshmallows with Almond milk, chocolate",1428.0,23.3,166.1,24.8
"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast) with Apple pie filling and Cake, pudding-type, carrot, dry mix with Almond milk, chocolate",663.0,15.2,120.7,15.2
"Frozen yogurt, vanilla with Cereal, rice crispy, flavored and Bean cake",1162.5,17.7,211.3,28.2
"Yogurt, Greek, strawberry, lowfat with Coffee cake, crumb or quick-bread type and Cake, pudding-type, carrot, dry mix",1667.5,27.1,174.6,41.3
"Yogurt parfait, lowfat, with fruit and granola with Banana, baked and Bean cake with Cookie, peanut butter",852.5,13.4,131.1,31.3
"Frozen yogurt sandwich with Cereal, rice crispy, flavored and Carrots, glazed, cooked with Almond milk, chocolate",967.5,14.3,199.0,13.7
"Frozen yogurt sandwich with Oat milk and Fruit salad, including citrus fruits, with marshmallows",617.5,8.7,76.6,32.0
"Frozen yogurt, chocolate with Cereal, rice crispy, flavored and Carrot, dehydrated with Cookie, peanut butter sandwich",1167.2,21.3,250.9,11.4
"Frozen yogurt sandwich with Pie, apple, prepared from recipe and Carrots, raw with Cookie, butter or sugar",817.1,11.1,127.0,31.3
"Frozen yogurt, chocolate with Coffee cake, crumb or quick-bread type, cheese-filled and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise with Chia seeds",1063.9,19.0,119.9,57.0
"Yogurt, Greek, strawberry, lowfat with Doughnuts, cake-type, plain, chocolate-coated or frosted and Gelatin salad with vegetables",1397.5,21.1,109.4,41.7
"Yogurt parfait, with fruit with Pie, blueberry, commercially prepared and Gelatin salad with vegetables",565.0,12.0,90.5,18.3
"Yogurt, Greek, strawberry, lowfat with Doughnuts, cake-type, plain, chocolate-coated or frosted and Carrots, glazed, cooked with Almond milk, chocolate",1440.0,20.6,113.8,44.6
"Yogurt, Greek, Blueberry, CHOBANI with Cereal or Granola bar, NFS and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise with Cookies, peanut butter sandwich, regular",1539.7,29.1,139.2,53.9
"Fruit smoothie, with whole fruit and dairy, added protein with Bread, pound cake type, pan de torta salvadoran and Carrots, raw",747.5,22.5,101.7,28.2
"Tofu yogurt with Pudding, bread and Gelatin salad with vegetables",886.0,15.1,73.3,10.0
"Frozen yogurt sandwich with Banana nectar and Fruit salad, excluding citrus fruits, with pudding with Cookie, peanut butter, sugar free",632.5,9.7,104.3,20.7
"Turnover or breakfast pocket, egg with Cream of rice and Carrots, raw",545.0,17.6,78.9,17.3
"Yogurt, Greek, plain, nonfat with Potato chips, popped, NFS and Fruit salad, including citrus fruits, with marshmallows with Cookie, peanut butter, sugar free",1117.5,26.4,137.1,51.6
"Frozen yogurt bar, chocolate with Cobbler, apple and Gelatin salad with vegetables with Cookie, peanut butter sandwich",654.7,10.4,106.6,21.6
"Tofu yogurt with Puddings, rice, ready-to-eat and Fruit salad, including citrus fruits, with salad dressing or mayonnaise with Cookie, butterscotch, brownie",1053.8,12.7,74.2,28.6
"Frozen yogurt sandwich with Apple, candied and Bean cake with Cookie, butter or sugar",990.6,14.5,156.0,36.9
"Nutritional drink or shake, high protein, ready-to-drink, NFS with Bananas, dehydrated, or banana powder and Carrots, glazed, cooked with Cookie, peanut butter, with chocolate",778.8,17.8,160.0,14.4
"Burrito bowl, chicken with Pudding, rice and Bean cake with Cookie, peanut butter sandwich",889.2,43.5,87.7,40.0
"Turnover or hot pocket, beef with Coffee cake, crumb or quick-bread type, cheese-filled and Fruit salad, excluding citrus fruits, with marshmallows",1148.0,27.5,121.9,61.2
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI with Banana, baked and Gelatin salad with vegetables",440.5,14.3,80.5,7.0
"McDONALD'S, Fruit 'n Yogurt Parfait with Cookie, oatmeal and Fruit salad, excluding citrus fruits, with marshmallows",1584.5,15.2,151.6,48.6
"Chicken, ground, crumbles, cooked, pan-browned with Blueberry pie filling and Burrito bowl, with beans",684.0,43.6,83.9,20.1
"Nutritional drink or shake, high protein, light, ready-to-drink, NFS with Coffee cake, crumb or quick-bread type, with fruit and Burrito bowl, with beans with Cake, pound, commercially prepared, other than all butter, enriched",877.4,23.2,126.4,31.9
"Nutritional drink or shake, high protein, light, ready-to-drink, NFS with Pie fillings, apple, canned and Gelatin salad with vegetables with Nuts, walnuts, glazed",973.0,10.9,86.2,13.6
"Frozen yogurt sandwich with Pie, banana cream and Cake, pudding-type, carrot, dry mix",1147.0,14.6,179.3,43.4
"Frozen yogurt, vanilla with Pie, banana cream and Fruit salad, including citrus fruits, with salad dressing or mayonnaise",856.5,10.0,93.9,49.9
"Yogurt, Greek, with oats with Cereal, rice crispy, flavored and Fruit salad, including citrus fruits, with salad dressing or mayonnaise",1021.5,23.1,172.1,27.1
"Ramen bowl with beef with Doughnuts, cake-type, plain, chocolate-coated or frosted and Cake, pudding-type, carrot, dry mix with Almond milk, chocolate",1305.0,22.8,180.4,55.6
"Frozen yogurt, vanilla with Cookie, shortbread and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise",1208.5,14.3,141.6,65.4
"Frozen yogurt sandwich with Pie, apple, fast food and Bean cake",1194.0,16.1,165.4,54.9
"Fruit smoothie, with whole fruit and dairy, added protein with Cookie, shortbread and Fruit salad, excluding citrus fruits, with marshmallows with Chia seeds",1213.4,23.3,134.6,65.3
"Yogurt parfait, with fruit with Pie, blueberry, commercially prepared and Bean cake",918.0,16.4,126.3,39.7
"Yogurt parfait, lowfat, with fruit and granola with Cookie, oatmeal sandwich, with creme filling and Cake, pudding-type, carrot, dry mix with Cookie, butterscotch, brownie",1198.8,14.8,196.1,41.2
"Egg custards, dry mix with Cookie, oatmeal, with chocolate chips and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise with Cookie, peanut butter",1618.5,22.0,247.8,65.2
"Frozen yogurt, NFS with Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice and Gelatin salad with vegetables",770.5,15.1,176.0,7.1
"SILK Key Lime soy yogurt with Pie, banana cream and Fruit salad, excluding citrus fruits, with marshmallows",1229.0,8.9,92.5,45.5
"Yogurt parfait, with fruit with Puddings, rice, dry mix, prepared with whole milk and Cake or cupcake, carrot with Cookie, peanut butter, sugar free",1369.0,16.8,114.5,29.7
"Egg custards, dry mix with Apple pie filling and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise",1012.0,12.3,176.9,30.4
"Yogurt, Greek, with oats with Cereal or Granola bar, NFS and Gelatin salad with vegetables",991.0,30.4,140.7,35.2
"Frozen yogurt sandwich with Pie, apple, fast food and Carrots, raw",824.0,11.2,125.2,33.8
"Turnover or breakfast pocket, egg with Pudding, bread and Burrito bowl, with beans",760.5,31.5,98.9,27.6
"McDONALD'S, Fruit 'n Yogurt Parfait with Apple pie filling and Fruit salad, including citrus fruits, with salad dressing or mayonnaise with Nuts, walnuts, glazed",1123.5,7.4,90.4,27.7
"Yogurt, Greek, plain, lowfat with Pie, banana cream and Fruit salad, including citrus fruits, with marshmallows with Cookie, butter or sugar",1197.1,21.2,81.5,49.2
"Fish timbale or mousse with Blueberry pie filling and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise with Cookie, peanut butter, with chocolate",813.2,18.7,92.0,41.2
"Yogurt, Greek, strawberry, lowfat with Blueberry pie filling and Fruit salad, excluding citrus fruits, with pudding",1067.0,14.7,103.1,10.6
"Yogurt, Greek, strawberry, lowfat with Strudel, berry and Fruit salad, excluding citrus fruits, with pudding",1232.0,17.8,95.4,31.7
"Chicken, ground, crumbles, cooked, pan-browned with Cookie, oatmeal and Fruit salad, excluding citrus fruits, with marshmallows",1209.5,46.0,120.6,63.0
"Ramen bowl with beef with Cookie, oatmeal and Bean cake with Almond milk, chocolate",1301.0,25.4,177.1,56.5
"Nutritional drink or shake, high protein, light, ready-to-drink, NFS with Cookies, marshmallow, chocolate-coated (includes marshmallow pies) and Burrito bowl, with beans with Almond milk, chocolate",974.0,22.2,145.9,37.0
"Turnover or hot pocket, beef with Blueberry pie filling and Gelatin salad with vegetables",682.0,17.6,117.3,15.7
"Frozen yogurts, chocolate with Cereal or granola bar (Quaker Granola Bites) and Bean cake",1911.0,21.1,181.7,53.1
"Ramen bowl with beef with Strudel, berry and Cake, pudding-type, carrot, dry mix with Cake, pound, commercially prepared, other than all butter, enriched",1115.3,19.7,169.0,41.6
"Yogurt, Greek, strawberry, lowfat with Apple, dried and Bean cake with Cookie, butter or sugar",1506.6,20.3,177.3,28.7
"Frozen yogurt, chocolate with Cereal, rice crispy, flavored and Bean cake with Cake, pound, commercially prepared, other than all butter, enriched",1226.8,18.5,219.2,30.9
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI with Pie, blueberry, commercially prepared and Fruit salad, including citrus fruits, with marshmallows",730.0,16.2,87.1,36.3
"Yogurt parfait, with fruit with Oat milk and Cake or cupcake, carrot",597.5,11.4,84.0,24.3
"Yogurt parfait, lowfat, with fruit and granola with Cereal or granola bar (Quaker Chewy Granola Bar) and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise with Cookie, peanut butter, sugar free",1078.5,16.8,150.3,51.7
"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast) with Croissants, apple and Bean cake with Almond milk, chocolate",893.0,26.9,107.9,39.7
"Frozen yogurt, vanilla with Rice cake and Carrots, glazed, cooked with Cookie, butter or sugar",945.1,16.9,181.5,17.6
"Frozen yogurt, NFS with Pie, apple, fast food and Bean cake",1078.5,14.8,146.2,51.0
"Yogurt, Greek, with oats with Apple pie filling and Fruit salad, including citrus fruits, with salad dressing or mayonnaise with Chia seeds",686.4,18.3,88.5,30.5
"Frozen yogurt, NFS with Cereal or granola bar (Quaker Chewy Granola Bar) and Burrito bowl, with beans with Cookie, peanut butter, sugar free",1025.0,22.6,162.6,38.3
"Frozen yogurt, NFS with Cookies, marshmallow, chocolate-coated (includes marshmallow pies) and Fruit salad, excluding citrus fruits, with pudding",959.0,12.4,152.1,37.2
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI with Pie, apple, fast food and Fruit salad, excluding citrus fruits, with pudding with Nuts, walnuts, glazed",824.0,19.2,107.0,38.2
"Fruit smoothie, with whole fruit and dairy, added protein with Banana chips and Fruit salad, excluding citrus fruits, with pudding",1034.0,16.3,120.8,58.7
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI with Coffee cake, crumb or quick-bread type, with fruit and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise with Cookies, peanut butter sandwich, regular",939.7,21.0,116.5,43.8
"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast) with Puddings, rice, dry mix and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise",902.5,15.7,151.6,25.9
"Yogurt, Greek, strawberry, lowfat with Frozen novelties, ice type, sugar free, orange, cherry, and grape POPSICLE pops and Fruit salad, including citrus fruits, with salad dressing or mayonnaise with Almond milk, chocolate",1034.0,14.2,40.3,24.3
"Yogurt, Greek, with oats with Coffee cake, crumb or quick-bread type, with fruit and Bean cake",1120.5,25.9,155.2,44.6
"Tofu yogurt with Potato chips, popped, NFS and Carrots, raw with Cookie, butter or sugar",1408.1,14.4,150.9,33.2
"Frozen yogurts, chocolate with Pie, blueberry, prepared from recipe and Fruit salad, excluding citrus fruits, with pudding with Almond milk, chocolate",1331.5,10.5,101.9,29.9
"Yogurt parfait, lowfat, with fruit and granola with Pie fillings, blueberry, canned and Cake or cupcake, carrot",771.5,8.1,142.2,19.3
"Frozen yogurt sandwich with Pie fillings, apple, canned and Gelatin salad with vegetables",997.0,7.5,104.7,9.5
"Frozen yogurt, chocolate with Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice and Carrots, raw",759.5,14.5,171.7,7.3
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI with Cookie, oatmeal, reduced sugar and Cake or cupcake, carrot with Cookie, butterscotch, brownie",1246.2,22.0,184.1,49.2
"Ramen bowl with chicken with Cream of rice and Fruit salad, including citrus fruits, with marshmallows",536.5,14.2,63.0,25.0
"Yogurt, Greek, plain, lowfat with Oat milk and Carrots, raw",569.0,16.8,23.6,6.6
"Ramen bowl with beef with Puddings, rice, dry mix, prepared with 2% milk and Fruit salad, including citrus fruits, with marshmallows with Chia seeds",1219.9,19.5,77.6,33.9
"Frozen yogurts, chocolate with Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar) and Fruit salad, excluding citrus fruits, with pudding",1569.5,12.6,169.3,24.4
"Tofu yogurt with Puddings, rice, dry mix and Fruit salad, excluding citrus fruits, with marshmallows",1406.0,11.1,178.3,22.3
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI with Banana chips and Carrots, glazed, cooked",1013.5,16.0,122.8,55.4
"Frozen yogurt, chocolate with Cookie, oatmeal, reduced sugar and Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise",1117.0,13.5,150.8,53.1
"Ramen bowl with chicken with Cake or cupcake, banana and Cake or cupcake, carrot with Cake, pound, commercially prepared, other than all butter, enriched",1189.8,17.5,162.4,52.3
"Frozen yogurt, NFS with Cereal or granola bar (Quaker Granola Bites) and Fruit salad, including citrus fruits, with marshmallows with Cookie, butterscotch, brownie",1171.8,17.8,158.3,53.2
"Tofu yogurt with Puddings, rice, dry mix, prepared with 2% milk and Cake or cupcake, carrot",1662.5,12.7,107.0,22.7
"Ramen bowl with chicken with Pie, apple and Carrot, dehydrated with Cookie, peanut butter, with chocolate",1045.2,23.9,168.0,34.0
"Nutritional drink or shake, high protein, ready-to-drink, NFS with Coffee cake, crumb or quick-bread type, with fruit and Carrots, raw with Cookie, butterscotch, brownie",679.2,17.8,95.8,25.5
"Nutritional drink or shake, high protein, light, ready-to-drink, NFS with Banana chips and Fruit salad, excluding citrus fruits, with pudding",1122.5,13.4,131.6,65.0
"Ramen bowl with beef with Pie, apple and Bean cake",1063.5,20.1,129.3,52.1
"Chicken, ground, crumbles, cooked, pan-browned with Coffee cake, crumb or quick-bread type and Burrito bowl, with beans with Cookies, peanut butter sandwich, regular",1078.2,54.0,104.1,50.6
"McDONALD'S, Fruit 'n Yogurt Parfait with Frozen novelties, ice type, sugar free, orange, cherry, and grape POPSICLE pops and Carrot, dehydrated",1128.5,12.2,118.4,3.4
"Yogurt, Greek, with oats with Cookie, oatmeal sandwich, with creme filling and Cake, pudding-type, carrot, dry mix with Cookie, peanut butter, sugar free",1314.0,24.4,200.2,47.4
"Turnover or hot pocket, beef with Cereal or granola bar (Quaker Chewy Dipps Granola Bar) and Fruit salad, excluding citrus fruits, with pudding",1206.5,28.7,152.3,52.5
"Ramen bowl with chicken with Cereal or granola bar (Quaker Chewy Granola Bar) and Carrots, raw",860.0,19.9,138.1,30.9
"Turkey, ground, fat free, pan-broiled crumbles with Cobbler, apple and Carrot, dehydrated",893.0,58.7,129.9,18.5
"Turkey, ground, fat free, pan-broiled crumbles with Apple, raw and Fruit salad, excluding citrus fruits, with pudding with Cookie, peanut butter",526.0,51.0,49.0,14.3
"Egg custards, dry mix with Puddings, rice, ready-to-eat and Fruit salad, excluding citrus fruits, with pudding",914.0,17.1,169.9,19.3
"Turkey, ground, fat free, pan-broiled crumbles with Cookie, oatmeal sandwich, with creme filling and Fruit salad, including citrus fruits, with salad dressing or mayonnaise",1063.5,53.3,96.4,51.8
"McDONALD'S, Fruit 'n Yogurt Parfait (without granola) with Pie, blueberry, prepared from recipe and Gelatin salad with vegetables",563.5,9.2,90.8,19.6
"Nutritional drink or shake, high protein, light, ready-to-drink, NFS with Oat milk and Gelatin salad with vegetables with Cookie, butterscotch, brownie",396.2,11.3,57.6,14.0
"Yogurt parfait, with fruit with Pie, banana cream and Gelatin salad with vegetables with Cookie, peanut butter, with chocolate",714.2,14.1,95.6,31.3
"Frozen yogurt, vanilla with Strudel, berry and Cake, pudding-type, carrot, dry mix with Cookie, butter or sugar",1111.6,14.0,180.5,39.5
"Yogurt, Greek, with oats with Pie fillings, apple, canned and Fruit salad, excluding citrus fruits, with marshmallows",1104.5,15.8,86.7,25.1
"Yogurt, Greek, with oats with Cake or cupcake, apple and Cake or cupcake, carrot",1161.5,19.9,160.6,49.3
"Yogurt, Greek, with oats with Cereal or granola bar (Quaker Granola Bites) and Fruit salad, excluding citrus fruits, with pudding with Almond milk, chocolate",1043.5,26.5,148.7,38.4
"Egg custards, dry mix with Cereal, rice crispy, plain and Cake, pudding-type, carrot, dry mix",1567.0,25.9,323.1,21.2
"Ramen bowl with beef with Cereal or granola bar (Quaker Chewy Granola Bar) and Cake, pudding-type, carrot, dry mix",1247.5,23.8,207.6,42.4
"Ramen bowl with chicken with Cereal or granola bar (Quaker Chewy Granola Bar) and Cake or cupcake, carrot",1190.0,21.5,180.2,48.2
"Frozen yogurt, chocolate with Cream of rice and Cake or cupcake, carrot",674.0,8.7,107.1,23.1
"Fish timbale or mousse with Pudding, rice and Carrot, dehydrated with Cookie, butter or sugar",796.1,28.9,120.2,24.1
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI with Cookie, shortbread and Gelatin salad with vegetables with Cookie, peanut butter sandwich",1041.7,22.5,137.4,44.7
"Yogurt, Greek, Blueberry, CHOBANI with Frozen novelties, ice type, sugar free, orange, cherry, and grape POPSICLE pops and Fruit salad, including citrus fruits, with salad dressing or mayonnaise",883.5,12.7,39.9,20.6
"Frozen yogurt, vanilla with Pie fillings, apple, canned and Burrito bowl, with beans with Cookie, peanut butter, with chocolate",1020.8,13.9,97.8,12.8
"Yogurt parfait, with fruit with Cookies, oatmeal sandwich, with creme filling and Fruit salad, excluding citrus fruits, with pudding with Cookie, butterscotch, brownie",950.8,14.4,135.2,39.6
"McDONALD'S, Fruit 'n Yogurt Parfait (without granola) with Pie, blueberry, prepared from recipe and Carrots, raw with Cookie, peanut butter sandwich",618.2,9.9,96.3,22.9
"Frozen yogurt, vanilla with Puddings, rice, dry mix, prepared with whole milk and Carrots, raw",995.0,10.2,73.1,9.9
"Nutritional drink or shake, high protein, ready-to-drink, NFS with Pie, apple and Gelatin salad with vegetables",596.5,15.4,71.6,28.0
"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast) with Pie, apple, prepared from recipe and Carrots, raw",533.0,14.4,66.6,24.1
"Nutritional drink or shake, high protein, ready-to-drink, NFS with Strudel, berry and Fruit salad, including citrus fruits, with salad dressing or mayonnaise with Cookie, peanut butter, with chocolate",839.2,16.6,82.1,50.5
"Turnover or hot pocket, beef with Pie, blueberry, prepared from recipe and Burrito bowl, with beans with Cookie, peanut butter, with chocolate",917.2,28.8,113.2,40.4
