description,calories,protein,carbs,fat
"Blueberries, dried",317.0,2.5,80.0,2.5
"Raspberries, raw",57.0,1.01,12.9,0.19
"Raspberries, frozen",57.0,1.01,12.9,0.19
"Raspberries, puree, seedless",41.0,1.02,7.99,0.87
"Blackberries, raw",43.0,1.39,9.61,0.49
"Blackberries, frozen",64.0,1.18,15.67,0.43
"Blackberries, frozen, unsweetened",268.0,1.18,15.7,0.43
"Mango, raw",60.0,0.82,14.98,0.38
"Mango, canned",65.0,0.62,16.22,0.3
"Mango, frozen",60.0,0.82,14.98,0.38
Mango nectar,51.0,0.11,13.12,0.06
"Mango, dried",319.0,2.45,78.58,1.18
"Pineapple, raw",60.0,0.46,14.09,0.21
"Pineapple, frozen",60.0,0.46,14.09,0.21
"Pineapple, dried",347.0,1.22,84.11,0.71
"Toppings, pineapple",253.0,0.1,66.4,0.1
"Kiwi fruit, raw",64.0,1.06,14.0,0.44
"Beverages, Kiwi Strawberry Juice Drink",47.0,0.0,12.3,0.0
"Babyfood, GERBER, 3rd Foods, apple, mango and kiwi",48.0,0.47,12.9,0.0
"Beverages, V8 SPLASH Juice Drinks, Strawberry Kiwi",121.0,0.0,7.41,0.0
"Papayas, raw",43.0,0.47,10.8,0.26
"Papaya, canned",52.0,0.35,13.1,0.21
"Papaya, raw",43.0,0.47,10.82,0.26
Papaya nectar,57.0,0.17,14.51,0.15
"Papaya, dried",302.0,1.25,75.43,0.84
"Watermelon, raw",30.0,0.61,7.55,0.15
"Watermelon juice, 100%",30.0,0.61,7.55,0.15
"Seeds, watermelon seed kernels, dried",557.0,28.3,15.3,47.4
Cantaloupe nectar,65.0,0.33,15.64,0.11
"Cantaloupe, raw",38.0,0.82,8.16,0.18
"Melons, cantaloupe, raw",141.0,0.82,8.16,0.18
"Honeydew melon, raw",36.0,0.54,9.09,0.14
"Melons, honeydew, raw",36.0,0.54,9.09,0.14
"Cherries, raw",71.0,1.04,16.16,0.19
"Cherries, canned",74.0,0.71,18.79,0.14
"Cherries, dried",333.0,1.25,80.45,0.73
"Cherries, frozen",71.0,1.04,16.16,0.19
"Cherries, maraschino",165.0,0.22,41.97,0.21
"Apricot, raw",48.0,1.4,11.12,0.39
Apricot nectar,56.0,0.17,13.63,0.45
"Apricot, canned",57.0,0.65,13.85,0.17
"Apricot, dried",241.0,3.39,62.64,0.51
"Apricots, raw",201.0,1.4,11.1,0.39
"Nectarine, raw",43.0,1.06,9.18,0.28
"Nectarines, raw",44.0,1.06,10.6,0.32
"Peach, dried",239.0,3.61,61.33,0.76
"Peach, canned, in syrup",54.0,0.4,13.59,0.08
"Clementine, raw",53.0,0.81,13.34,0.31
"Clementines, raw",198.0,0.85,12.0,0.15
"Tangerine, raw",53.0,0.81,13.34,0.31
"Tangerine juice, 100%",43.0,0.5,10.1,0.2
"Tangerine juice, raw",43.0,0.5,10.1,0.2
"Tangerines, (mandarin oranges), raw",223.0,0.81,13.3,0.31
"Tangerines, (mandarin oranges), canned, juice pack",37.0,0.62,9.57,0.03
"Grapefruit, raw",42.0,0.77,10.66,0.14
"Grapefruit, canned",36.0,0.58,9.15,0.1
"Grapefruit juice, pink, raw",39.0,0.5,9.2,0.1
"Grapefruit juice, white, raw",39.0,0.5,9.2,0.1
"Grapefruit, raw, white, California",37.0,0.88,9.09,0.1
Almond butter,641.0,20.67,21.11,52.72
Almond chicken,195.0,15.66,4.46,13.16
Almond paste,458.0,9.0,47.81,27.74
"Almonds, flavored",599.0,20.07,20.12,53.27
"Almonds, honey roasted",579.0,14.11,35.84,45.34
"Nuts, almonds, honey roasted, unblanched",594.0,18.2,27.9,49.9
"Abiyuch, raw",69.0,1.5,17.6,0.1
Cashew butter,609.0,12.12,30.3,53.03
"Cashews, NFS",574.0,15.31,32.69,46.35
"Cashews, salted",578.0,14.7,31.4,47.48
"Cashews, unroasted",574.0,15.31,32.69,46.35
"Cashews, unsalted",584.0,14.85,31.71,47.96
"Cashews, honey roasted",563.0,10.31,43.7,41.18
"Nuts, walnuts, glazed",500.0,8.28,47.6,35.7
"Walnuts, honey roasted",668.0,9.8,29.04,56.92
"Nuts, pecans",691.0,9.17,13.9,72.0
"Pecans, NFS",750.0,9.96,12.7,73.28
"Pecans, salted",747.0,9.57,12.2,73.35
"Pecans, unroasted",750.0,9.96,12.7,73.28
"Pecans, unsalted",754.0,9.66,12.32,74.08
"Pistachio nuts, NFS",572.0,21.05,28.28,45.82
"Pistachio nuts, salted",576.0,20.22,27.16,46.98
"Pistachio nuts, unsalted",582.0,20.42,27.43,47.44
Macadamia nuts,716.0,7.79,12.83,76.08
"Nuts, macadamia nuts, raw",718.0,7.91,13.8,75.8
"Nuts, macadamia nuts, dry roasted, with salt added",716.0,7.79,12.8,76.1
Peanut butter,598.0,22.21,22.31,51.36
Peanut sauce,257.0,6.31,22.02,16.02
"Peanuts, boiled",318.0,13.5,21.26,22.01
"Peanuts, honey roasted",574.0,20.7,30.02,45.25
"Peanuts, roasted, salted",599.0,28.03,15.26,52.5
"Peanuts, roasted, unsalted",599.0,28.03,15.26,52.5
"Peanuts, dry roasted, salted",587.0,24.35,21.26,49.66
"Peanuts, dry roasted, unsalted",587.0,24.35,21.26,49.66
"Mixed nuts, NFS",610.0,19.59,20.9,53.82
"Mixed nuts, unroasted",616.0,16.97,22.88,54.56
Trail mix with nuts,604.0,20.06,21.07,52.98
"Mixed nuts, honey roasted",586.0,15.35,33.11,46.72
"Mixed nuts, with peanuts, salted",610.0,19.59,20.9,53.82
Trail mix with chocolate,503.0,11.65,48.27,32.26
"Trail mix, NFS",454.0,10.9,51.06,26.83
"Snacks, trail mix, regular",462.0,13.8,44.9,29.4
"Cookie, peanut butter",473.0,8.92,58.15,23.82
"Peanut butter sandwich, with regular peanut butter, on white bread",382.0,13.88,39.85,20.21
"Peanut butter sandwich, with regular peanut butter, on wheat bread",380.0,15.16,37.38,20.46
Peanut butter and jelly,432.0,11.18,46.13,25.69
"Almond butter, lower sodium",645.0,20.79,21.24,53.04
"Almond butter sandwich, on white bread",397.0,13.34,39.43,20.68
"Almond butter sandwich, on wheat bread",395.0,14.62,36.97,20.93
"Nuts, cashew butter, plain, with salt added",609.0,12.1,30.3,53.0
"Nuts, cashew butter, plain, without salt added",587.0,17.6,27.6,49.4
"Sunflower seeds, flavored",567.0,18.45,25.92,47.56
"Sunflower seeds, NFS",582.0,19.33,24.07,49.8
"Seeds, sunflower seed kernels, dried",584.0,20.8,20.0,51.5
"Seeds, sunflower seed butter, without salt",617.0,17.3,23.3,55.2
"Pumpkin seeds, salted",567.0,29.49,14.54,48.47
"Pumpkin seeds, NFS",574.0,29.84,14.71,49.05
"Pumpkin seeds, unsalted",574.0,29.84,14.71,49.05
Chia seeds,486.0,16.54,42.12,30.74
"Seeds, chia seeds, dried",486.0,16.5,42.1,30.7
"Seeds, breadfruit seeds, boiled",168.0,5.3,32.0,2.3
"Seeds, breadfruit seeds, raw",191.0,7.4,29.2,5.59
Nutrition bar (Snickers Marathon Protein Bar),415.0,25.0,50.5,12.5
Nutrition bar (South Beach Living High Protein Bar),412.0,30.34,38.4,15.17
Energy Drink,43.0,0.46,10.23,0.0
Energy drink (SoBe Energize Energy Juice Drink),45.0,0.0,11.27,0.0
Energy drink (Monster),47.0,0.47,11.28,0.0
Energy drink (No Fear),62.0,0.42,15.0,0.0
Cereal or granola bar (Quaker Chewy Granola Bar),418.0,5.65,70.2,16.57
Cereal or granola bar (Quaker Chewy Dipps Granola Bar),480.0,7.52,64.96,20.42
Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar),408.0,4.17,79.17,8.33
Cereal or granola bar (Quaker Granola Bites),451.0,7.17,66.27,17.5
"Cereal or Granola bar, NFS",471.0,10.1,64.4,19.8
"Nutritional drink or shake, high protein, ready-to-drink, NFS",61.0,6.59,0.85,3.38
"Nutritional drink or shake, high protein, light, ready-to-drink, NFS",138.0,5.38,17.29,5.38
"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast)",61.0,6.59,0.85,3.38
Milk shake with malt,125.0,3.76,13.64,6.11
Cheese ball,441.0,17.89,4.84,38.88
"Ladoo, round ball",411.0,6.92,46.74,22.25
"Melon balls, frozen",33.0,0.84,7.94,0.25
"Soup, Matzo ball",73.0,3.09,10.68,1.96
"Cookie, rum ball, no bake",514.0,5.37,63.78,26.22
"Yogurt, Greek, with oats",149.0,9.22,20.02,3.67
"Yogurt, Greek, Blueberry, CHOBANI",343.0,7.23,12.8,0.24
"Yogurt, Greek, plain, lowfat",305.0,9.95,3.94,1.92
"Yogurt, Greek, plain, nonfat",61.0,10.3,3.64,0.37
"Yogurt, Greek, strawberry, lowfat",439.0,8.17,12.3,2.57
Tofu yogurt,394.0,3.5,16.0,1.8
Yogurt tube,81.0,4.34,13.68,1.03
"Yogurt, liquid",74.0,3.65,12.55,1.07
"Yogurt, NFS",94.0,6.67,10.22,2.87
"Yogurt, soy",90.0,4.83,12.27,2.63
"Yogurt parfait, with fruit",104.0,5.25,16.08,2.18
"McDONALD'S, Fruit 'n Yogurt Parfait",439.0,2.73,20.7,1.3
"Yogurt parfait, lowfat, with fruit and granola",84.0,3.36,15.9,1.01
"McDONALD'S, Fruit 'n Yogurt Parfait (without granola)",90.0,2.47,17.7,1.13
"Cheese, cottage, with fruit",74.0,9.41,4.94,1.96
"Cottage cheese, farmer's",148.0,10.96,4.33,9.73
"Cheese, cottage, NFS",82.0,11.0,4.31,2.3
"Cheese, cottage, with vegetables",79.0,9.78,5.63,1.98
"Yellow string beans, cooked",50.0,1.45,6.25,2.71
"Bean salad, yellow and/or green string beans",109.0,3.52,13.0,5.0
"Cheese, processed cheese food",307.0,16.09,8.85,23.06
"Cheese spread, cream cheese",295.0,7.1,3.5,28.6
"Cheese spread, Swiss cheese base",290.0,16.41,8.73,21.23
"Sausage, summer, pork and beef, sticks, with cheddar cheese",426.0,19.4,1.82,37.9
"Fish, stick",277.0,11.01,21.66,16.23
"Egg, whole, cooked, hard-boiled",155.0,12.6,1.12,10.6
"Egg, whole, boiled or poached",143.0,12.4,0.96,9.96
Hard cider,56.0,0.0,5.92,0.0
"Chicken, feet, boiled",215.0,19.4,0.2,14.6
"Egg, deviled",198.0,11.52,1.07,15.9
"Eggs, Grade A, Large, egg white",55.0,10.7,2.36,0.0
"Eggs, Grade A, Large, egg whole",617.0,12.4,0.96,9.96
"Nabisco, Nabisco Snackwell's Fat Free Devil's Food Cookie Cakes",305.0,5.0,74.2,1.09
Beef jerky,410.0,33.2,11.0,25.6
Pork jerky,412.0,35.0,9.73,24.73
Venison/deer jerky,398.0,32.2,14.72,22.41
Beef burgundy,148.0,18.48,4.19,6.0
"Bologna, turkey",209.0,11.4,4.68,16.0
"Edamame, cooked",140.0,11.54,8.63,7.58
"Edamame, frozen, prepared",507.0,11.9,8.91,5.2
"Edamame, frozen, unprepared",109.0,11.2,7.61,4.73
"Chickpeas, NFS",211.0,8.23,25.48,8.91
Chickpea flour (besan),387.0,22.4,57.8,6.69
"Chickpeas, from canned, fat added",197.0,7.88,21.61,9.35
"Chickpeas, from canned, no added fat",146.0,8.19,22.45,3.24
"Chickpeas, from canned, reduced sodium",197.0,7.89,21.64,9.37
"Crackers, snack, Goya Crackers",433.0,14.2,64.4,13.4
"Crackers, oatmeal",455.0,7.3,70.73,16.4
"Crackers, oyster",418.0,9.46,74.05,8.64
"Crackers, wonton",521.0,10.33,51.9,31.72
Graham crackers,430.0,6.69,77.66,10.6
"Crackers, whole-wheat",427.0,10.6,69.6,14.1
"Crackers, matzo, whole-wheat",351.0,13.1,78.9,1.5
"Crackers, whole-wheat, low salt",443.0,8.8,68.6,17.2
"Crackers, whole-wheat, reduced fat",416.0,11.3,75.5,7.59
"Crackers, wheat",441.0,8.94,70.14,15.26
Rice crackers,416.0,10.0,82.6,5.0
"Crackers, rice",416.0,10.0,82.64,5.0
"Crackers, rice and nuts",430.0,10.78,77.41,8.85
"Snacks, rice cracker brown rice, plain",387.0,8.2,81.5,2.8
"Babyfood, pretzels",397.0,10.8,82.2,2.0
"Pretzels, NFS",384.0,10.04,80.39,2.93
"Pretzels, soft",338.0,8.2,69.4,3.1
"Pretzels, hard, flavored",388.0,9.92,79.44,3.88
"Pretzels, hard, multigrain",381.0,10.15,80.08,2.96
"Pretzels, soft, multigrain",337.0,8.49,70.26,3.13
"Pretzels, soft, NFS",345.0,8.01,69.38,4.0
"Pretzels, soft, unsalted",345.0,8.2,71.0,3.1
"Pretzels, soft, filled with cheese",339.0,10.22,62.35,5.36
Rice cake,392.0,7.1,81.1,4.3
Cake made with glutinous rice,279.0,2.49,53.57,6.51
"Snacks, rice cakes, brown rice, buckwheat",380.0,9.0,80.1,3.5
"Snacks, rice cakes, brown rice, corn",385.0,8.4,81.2,3.2
"Snacks, corn cakes",387.0,8.1,83.4,2.4
"Snacks, corn cakes, very low sodium",387.0,8.1,83.4,2.4
"Cake, fruit cake",324.0,2.9,61.6,9.1
Popcorn cake,384.0,9.7,80.1,3.1
"Popcorn, NFS",518.0,9.13,54.99,30.57
"Popcorn chips, plain",438.0,10.19,74.18,11.19
"Popcorn, caramel coated",428.0,3.77,78.47,12.7
"KFC, Popcorn Chicken",351.0,17.7,21.2,21.7
"Popcorn, air-popped, no butter added",385.0,12.89,77.47,4.52
"Popcorn, air-popped, with added butter",430.0,11.02,65.75,15.29
"Snacks, popcorn, air-popped (Unsalted)",382.0,12.0,77.9,4.2
"Popcorn, popped in oil, no butter added",498.0,8.96,57.87,27.99
"Popcorn, microwave, kettle",504.0,9.35,58.01,27.5
"Popcorn, ready-to-eat, kettle",531.0,5.48,61.01,30.22
Corn beverage,44.0,0.84,9.4,0.21
Corn nuts,446.0,8.5,71.86,15.64
Multigrain chips (Sun Chips),491.0,7.95,67.26,21.11
Cracker chips,491.0,7.95,67.26,21.11
Chocolate chips,480.0,4.2,63.9,30.0
Bean chips,448.0,14.6,53.12,21.58
Pita chips,457.0,11.79,68.26,15.2
"Tortilla chips, flavored",519.0,7.36,60.81,27.42
"Tortilla chips, plain",472.0,7.1,67.78,20.68
"Tortilla chips, reduced sodium",489.0,9.35,68.08,19.84
"Tortilla chips, reduced fat, plain",411.0,10.86,79.07,5.63
"Tortilla chips, reduced fat, flavored",411.0,10.86,79.07,5.63
"Snacks, pita chips, salted",457.0,11.8,68.3,15.2
"Bread, pita",275.0,9.1,55.7,1.2
"Bread, pita with fruit",279.0,8.16,59.51,1.05
"Bread, pita, white, enriched",275.0,9.1,55.7,1.2
"Veggie burger, on bun",224.0,12.96,30.82,5.2
"Veggie burger patty, no bun",177.0,15.7,14.27,6.3
"Veggie burger, on bun, with cheese",243.0,14.0,27.23,8.43
"Veggie burgers or soyburgers, unprepared",739.0,15.7,14.3,6.3
Vegetable chips,495.0,4.72,59.2,26.56
"Hummus, commercial",237.0,7.78,15.0,17.8
"Hummus, flavored",241.0,7.22,14.63,17.1
"Hummus, plain",243.0,7.35,14.9,17.1
"Hummus, home prepared",177.0,4.86,20.1,8.59
"Guacamole, NFS",155.0,1.95,8.45,14.18
Guacamole with tomatoes,145.0,1.87,8.09,13.09
"Salsa verde or salsa, green",38.0,1.13,6.36,0.89
"Salsa, NFS",34.0,1.44,6.74,0.19
"Salsa, red",34.0,1.44,6.74,0.19
"Salsa, red, homemade",34.0,1.44,6.74,0.19
"Dip, salsa con queso, cheese and salsa- medium",143.0,3.14,11.1,9.51
Tzatziki dip,91.0,5.22,4.1,6.0
"Carrots, raw",44.0,0.87,9.68,0.24
"Carrot, dehydrated",341.0,8.1,79.6,1.49
"Muffin, carrot",314.0,5.01,44.42,13.21
"Celery, raw",17.0,0.49,3.32,0.16
Celery juice,17.0,0.49,3.32,0.16
"Celery, cooked",42.0,0.52,3.46,2.9
"Celery, pickled",35.0,0.41,7.61,0.15
Cucumber salad made with cucumber and vinegar,34.0,0.5,6.79,0.13
"Cucumber, raw",16.0,0.62,2.95,0.18
"Cucumber, cooked",45.0,0.72,3.37,3.2
Cucumber and vegetable namasu,56.0,0.47,12.22,0.18
"Cucumber, for use on a sandwich",16.0,0.62,2.95,0.18
"Tomatoes, raw",20.0,0.82,4.04,0.31
"CRACKER BARREL, chicken tenderloin platter, fried",293.0,18.1,20.3,15.5
"CRACKER BARREL, country fried shrimp platter",287.0,12.6,21.4,16.8
"CRACKER BARREL, farm raised catfish platter",266.0,22.9,5.31,17.0
"CRACKER BARREL, chicken tenderloin platter, fried, from kid's menu",294.0,18.7,20.2,15.4
Dark chocolate candy,550.0,5.09,59.97,32.2
Dark chocolate candy with nuts,560.0,8.26,52.18,36.27
"Candies, SPECIAL DARK Chocolate Bar",556.0,5.54,60.5,32.4
"Dark chocolate candy, other, NFS",550.0,5.09,59.97,32.2
"Baking chocolate, unsweetened, squares",642.0,14.3,28.4,52.3
"Cereal, oat squares",379.0,10.4,73.27,5.22
"Cereal, corn squares",369.0,7.88,77.14,2.61
"Cereal, rice squares",357.0,7.01,77.43,2.19
"Candy, fruit leather",371.0,0.1,85.8,3.0
"Snacks, fruit leather, pieces",359.0,1.0,82.8,2.68
"Snacks, fruit leather, pieces, with vitamin C",373.0,0.1,85.2,3.5
"Fruit smoothie, with whole fruit and dairy",66.0,2.32,11.98,1.1
"Dried, fruit, NFS",298.0,2.28,78.62,0.62
Chocolate candy with dried fruit,390.0,4.1,68.4,14.8
"Prune, dried",240.0,2.18,63.88,0.38
Date,282.0,2.45,75.03,0.39
"Dates, medjool",277.0,1.81,75.0,0.15
"Breakfast bar, date, with yogurt coating",348.0,3.7,70.9,7.3
Raisins,299.0,3.3,79.32,0.25
"Cookie, raisin",401.0,4.1,68.0,13.6
"Bread, raisin",270.0,8.82,52.21,3.26
"Bagel, with raisins",268.0,9.83,55.07,1.21
"Raisins, seeded",296.0,2.52,78.5,0.54
"Pudding, rice",108.0,3.23,18.39,2.15
"Puddings, rice, dry mix",376.0,2.7,91.2,0.1
"Puddings, rice, ready-to-eat",108.0,3.23,18.4,2.15
"Puddings, rice, dry mix, prepared with 2% milk",465.0,3.29,20.8,1.63
"Puddings, rice, dry mix, prepared with whole milk",507.0,3.25,20.7,2.82
Banana pudding,160.0,2.57,28.0,4.26
"Pudding, bread",156.0,5.6,23.53,4.86
Noodle pudding,209.0,5.94,31.02,7.4
"Pudding, chocolate, NFS",142.0,2.09,23.01,4.6
"Cookie, granola",464.0,9.8,66.7,17.6
"Cereal, granola",420.0,9.82,67.35,13.01
"Cereal or granola bar, with rice cereal",417.0,3.4,80.5,9.0
"Cereal, crunch",398.0,4.31,82.08,5.53
"Cereal, multigrain",373.0,11.64,73.96,3.59
"Cereals ready-to-eat, POST, Honeycomb Cereal",394.0,6.01,86.6,2.93
Milk and cereal bar,413.0,6.47,72.0,11.0
Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),365.0,4.22,67.61,8.67
"Cereal or granola bar, nonfat",342.0,5.9,77.6,0.9
Vegetable smoothie,89.0,2.75,5.84,6.63
"Fruit smoothie, light",53.0,2.61,9.71,0.61
"Fruit smoothie, bottled",50.0,0.48,11.66,0.27
"Fruit smoothie, NFS",66.0,2.32,11.98,1.1
"Fruit and vegetable smoothie, bottled",53.0,0.6,12.53,0.26
"Fruit smoothie, with whole fruit, no dairy",54.0,0.61,12.67,0.35
"Fruit butters, apple",724.0,0.39,42.5,0.3
"Crackers, cheese",489.0,10.93,59.42,22.74
"Crackers, cheese (Goldfish)",489.0,10.93,59.42,22.74
"Crackers, cheese (Cheez-It)",489.0,10.93,59.42,22.74
"Crackers, cheese, regular",489.0,10.9,59.4,22.7
"Crackers, sandwich, cheese filled",477.0,9.3,61.7,21.1
